Time,setDynLoad / N,peak_dynLoad / N,setStatLoad / N,meanAbs_statLoad / N,setSpeed / rpm,meanAbs_speed / rpm
05-Nov-2021 15:10:43,1175.43534706561,1215.85414095629,3724.56465293439,3627.62161289827,2793.44441949395,2792.65932520668
05-Nov-2021 15:11:00,628.433765937542,669.34981706791,3671.56623406246,3629.62600779908,2807.24109291466,2807.15180643604
05-Nov-2021 15:11:20,646.976955990196,697.049137034964,3653.0230440098,3607.84605022329,2793.28673410653,2792.36103375965
05-Nov-2021 15:11:38,1169.5168437177,1251.39775281903,3348.56589061792,3285.73010409636,2566.15379097653,2565.1081400177
05-Nov-2021 15:11:59,524.888975580823,561.607673997494,3775.11102441918,3827.90376796065,2816.89717378549,2815.89362050198
05-Nov-2021 15:12:19,1131.05714142024,1216.93797528136,3682.7583940745,3623.81540671998,2663.24661579384,2659.8888043987
05-Nov-2021 15:12:36,928.418587420934,980.240596530826,3522.79310035545,3537.16565914569,2512.12356273263,2510.18976300087
05-Nov-2021 15:12:55,973.86270772316,1047.08739012458,3438.01253849929,3369.46057729724,2825.61889851484,2824.61382443309
05-Nov-2021 15:13:11,940.501159220812,994.200310560372,3359.49884077919,3371.77698055221,2793.0588023843,2792.0721827649
05-Nov-2021 15:13:31,707.366124510111,756.491760705866,3592.63387548989,3603.25006365657,2975.84637510965,2973.59413869653
05-Nov-2021 15:13:52,1000.23123889195,1068.59934202219,3552.97852583257,3513.2372800639,2850.76023558339,2848.90084201091
05-Nov-2021 15:14:13,726.392235018098,778.321753452095,3573.6077649819,3597.0410974087,2934.54195152148,2932.55868498577
05-Nov-2021 15:14:32,579.641372008169,618.979782301171,3720.35862799183,3499.36459013296,2489.57640333543,2486.96683204143
05-Nov-2021 15:14:51,535.368188406386,569.699583264101,3764.63181159361,3780.2432349563,2888.57089564129,2887.08058127894
05-Nov-2021 15:15:10,692.928642049146,743.33125808315,3608.02233807332,3526.94553715607,2517.95715025873,2516.15357857487
05-Nov-2021 15:15:30,796.95814398205,838.087222012166,3592.63204557636,3633.83264934376,2610.9957042378,2610.81241190583
05-Nov-2021 15:15:51,1074.61439970466,1149.85859486094,3678.60011455536,3447.50525276063,2950.31619829789,2949.00355017704
05-Nov-2021 15:16:10,962.072855218468,1028.82602271339,3337.92714478153,3250.36565767125,2628.26750818521,2628.41930281516
05-Nov-2021 15:16:30,532.994657885409,566.250693788778,3767.00534211459,3874.35722788675,2718.47853180538,2717.84378566184
05-Nov-2021 15:16:50,994.048965249379,1064.08898311425,3305.95103475062,3288.62838075116,2741.29419652332,2740.99347481849
05-Nov-2021 15:17:12,844.392478977597,897.229213455372,3455.6075210224,3429.84661501373,2497.30938491595,2495.31702393315
05-Nov-2021 15:17:34,938.988416005417,1003.56231037386,3431.48564227007,3447.27265127196,2499.38923769987,2497.38376711789
05-Nov-2021 15:17:56,774.729200748751,824.716452239597,3525.27079925125,3559.40194742336,2813.528701884,2812.6946046834
05-Nov-2021 15:18:17,1172.72770111162,1250.41439435089,3376.18900948461,3604.6801265917,2537.38618123009,2536.01011583908
05-Nov-2021 15:18:37,960.912235623408,1010.95110703338,3339.08776437659,3571.67807138279,2723.00546115603,2720.89989719339
05-Nov-2021 15:18:58,1103.44274212417,1173.31818982616,3302.31711206703,3546.25589685371,2463.99166210835,2462.44250565386
05-Nov-2021 15:19:18,957.782077244545,1007.42997839819,3342.21792275546,3572.79967487395,2890.38193239206,2889.58489613789
05-Nov-2021 15:19:38,1288.18416227587,1375.88294588773,3515.70691373177,3454.673755601,2555.92224171039,2555.50429185694
05-Nov-2021 15:19:55,927.230509807641,983.879271217162,3372.76949019236,3346.44057135273,2509.10821698171,2507.82164120698
05-Nov-2021 15:20:13,725.069899081834,770.882626334023,3574.93010091817,3582.70453534172,2921.57532458405,2920.47025295872
05-Nov-2021 15:20:30,824.523809553864,871.830601550474,3475.47619044614,3519.14355384686,2911.81867063314,2910.48238867529
05-Nov-2021 15:20:50,880.041923223171,936.094307126765,3419.95807677683,3372.44151398521,2641.08482025117,2638.97833683204
05-Nov-2021 15:21:08,791.366465457815,835.446554172346,3508.63353454218,3442.03179814954,2510.34467296945,2509.51559838052
05-Nov-2021 15:21:30,754.56795376596,794.888565276461,3545.43204623404,3545.12320301821,2941.62966594917,2938.18197315564
05-Nov-2021 15:21:50,815.376609439892,850.145532087198,3484.62339056011,3740.25515003926,2602.63164589283,2602.72391293053
05-Nov-2021 15:22:07,879.154357043084,931.019192802488,3420.84564295692,3424.74845765519,2868.15124099268,2866.54196015241
05-Nov-2021 15:22:23,1128.97470461226,1180.31385090411,3771.02529538774,3546.02580917642,2457.87271510103,2456.69233064677
05-Nov-2021 15:22:41,882.610043313797,930.828843465062,3417.3899566862,3382.56995579492,2745.12515704708,2744.4838918962
05-Nov-2021 15:22:57,978.488099171096,1033.90505049172,3321.5119008289,3319.31580716022,2892.71642411878,2891.71212980356
05-Nov-2021 15:23:17,676.127018431846,716.403749550139,3623.87298156815,3728.79838071984,2789.46928497387,2789.43234596309
05-Nov-2021 15:23:35,627.653596462922,659.797163387571,3672.34640353708,3446.8980933757,2728.20533537181,2726.42788601089
05-Nov-2021 15:23:52,900.252955983527,955.677518199331,3484.24229824517,3448.47055633219,2812.06526001919,2812.1888469937
05-Nov-2021 15:24:12,1104.53457407087,1173.30308218928,3764.69298548437,3806.41467314915,2868.13646109083,2866.73524334592
05-Nov-2021 15:24:31,776.608125285097,819.05768613034,3523.3918747149,3475.85498245355,2692.0749794419,2690.53823939567
