Time,Mean Abs. Temp. T1 / °C,Mean Abs. Temp. T2 / °C,Mean Room Temp. / °C
22-Nov-2021 11:06:32,20.97022914225,20.8695763688205,20.925698879986
22-Nov-2021 11:06:45,21.4418571380884,21.1605040230702,20.8956493627516
22-Nov-2021 11:06:57,21.813656637217,21.4923884363853,20.8018230139709
22-Nov-2021 11:07:09,22.1372706668637,21.8061374589413,20.7803598375543
22-Nov-2021 11:07:21,22.4320081217904,22.1052726453773,20.7644925066259
22-Nov-2021 11:07:34,22.7301455565371,22.4045877967537,20.7681718808699
22-Nov-2021 11:07:46,23.0254718476537,22.7070734472518,20.7776769501179
22-Nov-2021 11:07:58,23.3225881630788,23.0098163889366,20.7878719331801
22-Nov-2021 11:08:11,23.6208813239155,23.3120497480625,20.8071121738914
22-Nov-2021 11:08:23,23.9163626215632,23.6143102881363,20.8081086831329
22-Nov-2021 11:08:35,24.2101053848318,23.9108450168982,20.8096417750445
22-Nov-2021 11:08:47,24.5023393211664,24.206331946439,20.8289587951041
22-Nov-2021 11:09:00,24.7926803778648,24.497011486031,20.8452097075768
22-Nov-2021 11:09:12,25.0819722044829,24.7908619767266,20.857167975693
22-Nov-2021 11:09:24,25.3686796123393,25.0746093844181,20.8559414847148
22-Nov-2021 11:09:36,25.6515739168251,25.3576901027231,20.8586244350624
22-Nov-2021 11:09:49,25.9300400973767,25.6374946008577,20.8717325912459
22-Nov-2021 11:10:01,26.2054587930831,25.9130242848724,20.8766385811309
22-Nov-2021 11:10:13,26.4783666702552,26.18343374363,20.8920465019844
22-Nov-2021 11:10:25,26.7509128394578,26.4530973379489,20.9113639955715
22-Nov-2021 11:10:38,27.0217151311921,26.7166409311359,20.9162700430215
22-Nov-2021 11:10:50,27.2874711960753,26.9775180311543,20.9369675104381
22-Nov-2021 11:11:02,27.5490245823046,27.2331941900818,20.9474696075873
22-Nov-2021 11:11:15,27.8095999391549,27.4896577091646,20.9555953402247
22-Nov-2021 11:11:27,28.0683521647858,27.7421475246666,20.9696237737637
22-Nov-2021 11:11:39,28.3245127140558,27.9856707493029,20.9956110279185
22-Nov-2021 11:11:51,28.5785419021753,28.2305941411484,21.0038135348897
22-Nov-2021 11:12:04,28.8246005927466,28.4684688231075,20.997834135414
22-Nov-2021 11:12:16,29.0714456456464,28.7026731741669,21.0187620822426
22-Nov-2021 11:12:28,29.3097801300688,28.9422714012716,21.0161556641572
22-Nov-2021 11:12:40,29.5465178883627,29.1662140306827,21.0448263772969
22-Nov-2021 11:12:53,29.7662894323324,29.3815664456699,21.0221350979196
22-Nov-2021 11:13:05,29.9577944010144,29.5699631200299,21.0183787858951
22-Nov-2021 11:13:17,30.176593762863,29.7896445662402,21.0523390705467
22-Nov-2021 11:13:29,30.3987892685993,30.0215589565861,21.0592384874023
22-Nov-2021 11:13:42,30.6250733331693,30.2485708668712,21.0687443747223
22-Nov-2021 11:13:54,30.82546740061,30.4682199043752,20.988481762985
22-Nov-2021 11:14:06,31.0426321354302,30.6901891884615,21.012705996946
22-Nov-2021 11:14:18,31.247740821254,30.887114674841,20.9499993154468
22-Nov-2021 11:14:31,31.4661630644291,31.0840517315106,20.9679373010396
22-Nov-2021 11:14:43,31.6841382135662,31.2963754406065,20.989171689421
22-Nov-2021 11:14:55,31.8745993581234,31.4869554923555,20.9499993169147
22-Nov-2021 11:15:08,32.0815276157358,31.6798529107089,21.0286511661573
22-Nov-2021 11:15:20,32.2713961090091,31.8700703264922,21.0478927791626
22-Nov-2021 11:15:32,32.4469705997672,32.0426900564316,20.9664041293329
22-Nov-2021 11:15:44,32.6665477845217,32.2400795031868,20.9966075949143
22-Nov-2021 11:15:57,32.8770631388989,32.4416332700607,21.0888294939483
22-Nov-2021 11:16:09,33.0720535224438,32.6403536136733,21.1329098482403
22-Nov-2021 11:16:21,33.2552856083493,32.8220884634074,21.0591618223035
22-Nov-2021 11:16:39,34.2144576859284,33.3103531556081,21.3031037999242
22-Nov-2021 11:17:01,36.6734553810455,35.2501906852707,21.5231420267528
22-Nov-2021 11:17:19,38.3567312869183,36.7047097550059,21.5086512529253
22-Nov-2021 11:17:37,40.5349842814457,38.6519859276755,21.6158383996666
22-Nov-2021 11:17:57,42.3227909230644,40.5910678476056,21.6332432269569
22-Nov-2021 11:18:14,43.4771539418682,41.8524103296535,21.7514756821444
22-Nov-2021 11:18:31,44.9197613469572,43.2089675063141,21.7709514591811
22-Nov-2021 11:18:48,46.2901672416319,44.5318847497858,21.8652649248956
22-Nov-2021 11:19:05,47.4435072544806,45.8042900555258,21.8483189868479
22-Nov-2021 11:19:24,48.4726745989496,46.8483290382897,21.9304424461419
22-Nov-2021 11:19:42,49.8008615904674,48.1151279139697,21.969779616786
22-Nov-2021 11:20:01,50.6174057835119,49.0719382146203,21.9442449183226
22-Nov-2021 11:20:21,51.7099759616099,49.9929210442587,21.9983050917125
22-Nov-2021 11:20:39,53.1838530487796,51.2257276230666,22.0187024918802
22-Nov-2021 11:20:59,54.7032099319925,52.546026187062,22.1614110712921
22-Nov-2021 11:21:19,56.4072245651291,54.1108112393729,22.2593398164235
22-Nov-2021 11:21:36,57.5805781679948,55.2501365389194,22.2910119790684
22-Nov-2021 11:21:53,58.5490898972433,56.381718775621,22.2153980550832
22-Nov-2021 11:22:10,58.8705435706701,56.8766942390406,22.2876377129402
22-Nov-2021 11:22:28,59.868896897709,57.8446263075158,22.3286661849863
22-Nov-2021 11:22:46,60.1565114059196,58.2937067938437,22.4313546744144
